,Particles,It Mean,Duration
0,6,2.1866666666666665,0.016473054885864258
1,12,4.226666666666667,0.06158304214477539
2,20,6.013333333333334,0.16225099563598633
3,30,8.36,0.36870908737182617
4,42,10.866666666666667,0.7273721694946289
5,56,14.293333333333333,1.2996890544891357
6,72,17.16,2.076636791229248
7,90,20.933333333333334,3.207787036895752
8,110,25.133333333333333,4.7842700481414795
9,132,28.773333333333333,6.7744340896606445
10,156,32.72,9.275413036346436
11,182,37.86666666666667,12.585273027420044
12,210,40.18666666666667,16.262467861175537
13,240,45.48,19.733761072158813
14,272,50.44,24.90191674232483
15,306,56.13333333333333,31.798609733581543
16,342,60.84,39.83514595031738
17,380,63.81333333333333,47.37518382072449
18,420,73.4,59.26082992553711
19,462,74.90666666666667,73.2880163192749
20,506,83.38666666666667,90.64763808250427
21,552,86.52,105.69666790962219
22,600,94.50666666666666,128.06482887268066
23,650,99.08,145.00867795944214
24,702,105.38666666666667,165.25241708755493
25,756,114.18666666666667,192.20772695541382
26,812,118.57333333333334,224.80632185935974
27,870,128.48,258.06269812583923
28,930,134.0,291.222913980484
29,992,140.90666666666667,332.1472909450531
30,1056,153.01333333333332,390.0119926929474
31,1122,157.41333333333333,412.657723903656
32,1190,165.28,494.3564667701721
33,1260,173.96,552.0367741584778
34,1332,185.64,601.9253540039062
